Complex_ID,Complex_Size,Complex_Score,Complex_Overlap_Score,Protein_ID,Protein_Name
Complex_29,34,0.9806,0.2966,90,YCR072C
Complex_29,34,0.9806,0.2966,147,YDR087C
Complex_30,9,0.9805,0.3333,64,YBR245C
Complex_30,9,0.9805,0.3333,164,YDR190C
Complex_30,9,0.9805,0.3333,812,YOR304W
Complex_30,9,0.9805,0.3333,271,YFR013W
Complex_30,9,0.9805,0.3333,304,YGL133W
Complex_30,9,0.9805,0.3333,153,YDR121W
Complex_30,9,0.9805,0.3333,781,YOR116C
Complex_30,9,0.9805,0.3333,842,YPL129W
Complex_30,9,0.9805,0.3333,797,YOR207C
Complex_31,35,0.9804,0.3429,77,YCL054W
Complex_31,35,0.9804,0.3429,676,YNL002C
Complex_31,35,0.9804,0.3429,228,YER006W
Complex_31,35,0.9804,0.3429,100,YDL031W
Complex_31,35,0.9804,0.3429,837,YPL093W
Complex_31,35,0.9804,0.3429,297,YGL111W
Complex_31,35,0.9804,0.3429,683,YNL061W
Complex_31,35,0.9804,0.3429,533,YLL008W
Complex_31,35,0.9804,0.3429,854,YPL211W
Complex_31,35,0.9804,0.3429,670,YMR290C
Complex_31,35,0.9804,0.3429,694,YNL110C
Complex_31,35,0.9804,0.3429,740,YNR053C
Complex_31,35,0.9804,0.3429,867,YPR016C
Complex_31,35,0.9804,0.3429,495,YKL009W
Complex_31,35,0.9804,0.3429,539,YLR002C
Complex_31,35,0.9804,0.3429,547,YLR106C
Complex_31,35,0.9804,0.3429,416,YHR197W
Complex_31,35,0.9804,0.3429,366,YGR245C
Complex_31,35,0.9804,0.3429,706,YNL182C
Complex_31,35,0.9804,0.3429,246,YER126C
Complex_31,35,0.9804,0.3429,150,YDR101C
Complex_31,35,0.9804,0.3429,808,YOR272W
Complex_31,35,0.9804,0.3429,338,YGR103W
Complex_31,35,0.9804,0.3429,258,YFL002C
Complex_31,35,0.9804,0.3429,755,YOL077C
Complex_31,35,0.9804,0.3429,393,YHR085W
Complex_31,35,0.9804,0.3429,642,YMR049C
Complex_31,35,0.9804,0.3429,388,YHR052W
Complex_31,35,0.9804,0.3429,529,YKR081C
Complex_31,35,0.9804,0.3429,796,YOR206W
Complex_31,35,0.9804,0.3429,215,YDR496C
Complex_31,35,0.9804,0.3429,90,YCR072C
Complex_31,35,0.9804,0.3429,861,YPL249C-A
