	T1	T2	T3	T4	T5	T6	T7	T8	T9	T10	T11	T12
YCL002C	0	0	0	1	0	1	1	1	1	0	1	1
YBR268W	1	1	0	0	0	0	0	0	1	1	1	1
YPR129W	1	1	1	1	1	1	0	0	1	1	0	0
YGL173C	1	1	1	1	1	1	1	0	0	1	1	0
YFL031W	1	1	0	1	0	1	1	0	1	1	1	1
YLR249W	1	0	0	0	0	0	1	1	1	1	1	1
YOR051C	0	0	1	1	1	1	1	1	1	1	1	1
YPR179C	0	1	1	1	1	1	1	1	1	1	1	1
YNL261W	0	1	0	0	1	1	0	1	1	1	1	1
YOL021C	0	0	0	1	1	1	1	1	1	1	1	1
YOL089C	1	1	1	1	1	1	1	0	1	0	0	0
