YBL092W	YKL180W
YGR134W	YJR011C
YDR171W	YPR035W
YGR258C	YIL143C
YGR247W	YKR034W
YNL069C	YPL143W
YBL007C	YBL047C
YKR081C	YLR276C
YDR254W	YLR315W
YER143W	YMR055C
YGR260W	YJL117W
YKR025W	YPR110C
YDR416W	YJR050W
YDR301W	YKL018W
YFL039C	YFR004W
YIL075C	YPR108W
YJL164C	YKR100C
YJL098W	YNL076W
YMR109W	YNL307C
YDR158W	YOR117W
YGR278W	YKL095W
YDL213C	YGL120C
YER112W	YJL155C
YDR477W	YHR117W
YGL120C	YGR270W
YDR005C	YPR110C
YGL112C	YMR223W
YDR216W	YPR086W
YAL010C	YLL006W
YLR355C	YOR117W
YNR046W	YPR054W
YHR058C	YPL248C
YAR007C	YEL030W
YAL021C	YMR124W
YGR270W	YML127W
YHR200W	YKR039W
YMR068W	YOR181W
YOL051W	YPR025C
YFR003C	YKL193C
YEL037C	YLL050C
YGL201C	YLR274W
YBR176W	YOR119C
YAR007C	YDR335W
YBR270C	YJR059W
YDR466W	YJR097W
YBL002W	YJL176C
YGL105W	YGR092W
YBR205W	YFL038C
YBR086C	YJL106W
YBR023C	YMR237W
YOL148C	YPL254W
YDL019C	YPL026C
YGL112C	YLR399C
YHL015W	YML065W
YKL173W	YNL245C
YBL058W	YNL155W
YDL028C	YPR115W
YJL164C	YPR091C
YBL093C	YDR308C
YMR049C	YPR008W
YDR060W	YGL120C
YBR095C	YML065W
YHR027C	YMR217W
YBR034C	YHR027C
YDR265W	YOL147C
YBL085W	YPL049C
YER059W	YMR311C
YDR496C	YPL012W
YKL065C	YLR034C
YJL058C	YNL047C
YHR025W	YHR027C
YBR005W	YER125W
YAL014C	YKL196C
YFR024C-A	YMR109W
YGL190C	YNL030W
YHR185C	YJL057C
YDR118W	YNL172W
